"año","geografia","poblacion","victimas","tasa_victimizacion","seguros_estado","porc_seguros_estado","preocupados_delincuencia","porc_preocupados","seguros_trabajo","porc_seguros_trabajo","mudanza_delincuencia","jueces_corruptos","porc_jueces_corruptos","jueces_no_corruptos","porc_jueces_no_corruptos","jueces_ns_nc","porc_jueces_ns_nc","hogares_vict_menores","vandalismo_hogar","homicidio_hogar"
2021,"Querétaro (Estado)",1731942,458215,26456.7,721664,41.7,1495477,86.3,925290,53.4,17234,367143,21.2,167182,9.7,1197617,69.1,24442,143809,294
2021,"Corregidora",143352,47528,33154.8,72474,50.6,128298,89.5,92375,64.4,2943,32815,22.9,24232,16.9,86305,60.2,5312,7735,0
2021,"Querétaro",607645,217264,35755.1,323112,53.2,549282,90.4,344250,56.7,9320,172371,28.4,67243,11.1,368031,60.6,13289,84261,294
2021,"El Marqués",10715,1377,12851.1,3487,32.5,10164,94.9,8407,78.5,0,685,6.4,3535,33,6495,60.6,614,2237,0
