"año","geografia","poblacion","victimas","tasa_victimizacion","seguros_estado","porc_seguros_estado","preocupados_delincuencia","porc_preocupados","seguros_trabajo","porc_seguros_trabajo","mudanza_delincuencia","jueces_corruptos","porc_jueces_corruptos","jueces_no_corruptos","porc_jueces_no_corruptos","jueces_ns_nc","porc_jueces_ns_nc","hogares_vict_menores","vandalismo_hogar","homicidio_hogar"
2023,"Querétaro (Estado)",1843470,511287,27735,784946,42.6,1520911,82.5,976046,52.9,13336,312946,17,167284,9.1,1363240,73.9,45886,189143,246
2023,"Corregidora",158580,57495,36256.1,78849,49.7,132211,83.4,93009,58.7,1067,33879,21.4,22610,14.3,102091,64.4,8706,16414,0
2023,"Querétaro",659345,253410,38433.6,311633,47.3,586321,88.9,381126,57.8,7042,157644,23.9,63969,9.7,437732,66.4,24142,111546,246
2023,"El Marqués",14534,2305,15859.4,4202,28.9,8675,59.7,4704,32.4,0,829,5.7,831,5.7,12874,88.6,0,648,0
