"año","geografia","poblacion","victimas","tasa_victimizacion","seguros_estado","porc_seguros_estado","preocupados_delincuencia","porc_preocupados","seguros_trabajo","porc_seguros_trabajo","mudanza_delincuencia","jueces_corruptos","porc_jueces_corruptos","jueces_no_corruptos","porc_jueces_no_corruptos","jueces_ns_nc","porc_jueces_ns_nc","hogares_vict_menores","vandalismo_hogar","homicidio_hogar"
2024,"Querétaro (Estado)",1867368,537608,28789.6,767573,41.1,1593207,85.3,1054308,56.5,21068,397963,21.3,135738,7.3,1333667,71.4,34037,169579,860
2024,"Corregidora",148264,46321,31242.2,73813,49.8,138480,93.4,84087,56.7,4184,48303,32.6,10908,7.4,89053,60.1,2256,13183,0
2024,"Querétaro",800317,275194,34385.6,358277,44.8,727214,90.9,446295,55.8,9117,205281,25.6,67118,8.4,527918,66,16800,92315,300
2024,"El Marqués",124937,34288,27444.2,72725,58.2,107934,86.4,82646,66.2,0,22404,17.9,5441,4.4,97092,77.7,969,11339,0
