"año","geografia","poblacion","victimas","tasa_victimizacion","seguros_estado","porc_seguros_estado","preocupados_delincuencia","porc_preocupados","seguros_trabajo","porc_seguros_trabajo","mudanza_delincuencia","jueces_corruptos","porc_jueces_corruptos","jueces_no_corruptos","porc_jueces_no_corruptos","jueces_ns_nc","porc_jueces_ns_nc","hogares_vict_menores","vandalismo_hogar","homicidio_hogar"
2022,"Querétaro (Estado)",1792229,483591,26982.7,759905,42.4,1482030,82.7,957143,53.4,14851,388924,21.7,150450,8.4,1252855,69.9,13220,167353,555
2022,"Corregidora",135609,45180,33316.4,75688,55.8,112804,83.2,74333,54.8,757,25964,19.1,13297,9.8,96348,71,2459,21007,0
2022,"Querétaro",689227,245857,35671.4,314107,45.6,612409,88.9,379753,55.1,10106,196171,28.5,63865,9.3,429191,62.3,7727,100781,0
2022,"El Marqués",9721,1061,10914.5,0,0,7613,78.3,3511,36.1,0,1426,14.7,0,0,8295,85.3,0,1103,0
