"año","geografia","poblacion","victimas","tasa_victimizacion","seguros_estado","porc_seguros_estado","preocupados_delincuencia","porc_preocupados","seguros_trabajo","porc_seguros_trabajo","mudanza_delincuencia","jueces_corruptos","porc_jueces_corruptos","jueces_no_corruptos","porc_jueces_no_corruptos","jueces_ns_nc","porc_jueces_ns_nc","hogares_vict_menores","vandalismo_hogar","homicidio_hogar"
2020,"Querétaro (Estado)",1667907,416615,24978.3,642792,38.5,1301736,78,801294,48,16542,274683,16.5,123634,7.4,1269590,76.1,19752,129040,957
2020,"Corregidora",115387,35569,30825.8,77790,67.4,92150,79.9,61111,53,0,25501,22.1,16034,13.9,73852,64,3031,9210,0
2020,"Querétaro",583514,197570,33858.7,274371,47,500993,85.9,303675,52,6523,133399,22.9,49355,8.5,400760,68.7,7404,75952,774
2020,"El Marqués",5845,1189,20342.2,1853,31.7,5845,100,1255,21.5,0,2306,39.5,0,0,3539,60.5,0,1916,0
